State,District,Crop_Year,Season,Crop,Area,Production,Min_Price,Max_Price,Modal_Price,Zn ,Fe,'Cu \%','Mn \%','B \%','S \%',JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
BIHAR,BANKA,2000,'Summer     ',RICE,48,89,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.5,12.1,3.6,37.2,96.2,267.2,264.3,201.4,314.8,9.6,0,0.1,1207,12.7,137,1047.7,9.7
BIHAR,BANKA,2000,'Whole Year ',ONION,87,888,3000,3500,3200,0.09,0.12,0.12,0.09,0.15,0.03,0.5,12.1,3.6,37.2,96.2,267.2,264.3,201.4,314.8,9.6,0,0.1,1207,12.7,137,1047.7,9.7
BIHAR,BANKA,2001,'Autumn     ',MAIZE,7921,13007,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,1,0.5,3,12.6,98.4,224.4,224.7,225.9,274.8,181.3,0.5,0,1247,1.5,114,949.8,181.8
BIHAR,BANKA,2001,'Autumn     ',RICE,102989,130687,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,1,0.5,3,12.6,98.4,224.4,224.7,225.9,274.8,181.3,0.5,0,1247,1.5,114,949.8,181.8
BIHAR,BANKA,2001,'Kharif     ',RICE,52,106,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,1,0.5,3,12.6,98.4,224.4,224.7,225.9,274.8,181.3,0.5,0,1247,1.5,114,949.8,181.8
BIHAR,BANKA,2001,'Rabi       ',BARLEY,1111,1102,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,1,0.5,3,12.6,98.4,224.4,224.7,225.9,274.8,181.3,0.5,0,1247,1.5,114,949.8,181.8
BIHAR,BANKA,2001,'Rabi       ',MAIZE,2642,3025,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,1,0.5,3,12.6,98.4,224.4,224.7,225.9,274.8,181.3,0.5,0,1247,1.5,114,949.8,181.8
BIHAR,BANKA,2001,'Rabi       ',WHEAT,35815,55872,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,1,0.5,3,12.6,98.4,224.4,224.7,225.9,274.8,181.3,0.5,0,1247,1.5,114,949.8,181.8
BIHAR,BANKA,2001,'Summer     ',MAIZE,2779,8954,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,1,0.5,3,12.6,98.4,224.4,224.7,225.9,274.8,181.3,0.5,0,1247,1.5,114,949.8,181.8
BIHAR,BANKA,2001,'Whole Year ',ONION,124,1184,3000,3500,3200,0.09,0.12,0.12,0.09,0.15,0.03,1,0.5,3,12.6,98.4,224.4,224.7,225.9,274.8,181.3,0.5,0,1247,1.5,114,949.8,181.8
BIHAR,BANKA,2003,'Whole Year ',ONION,29,275,3000,3500,3200,0.09,0.12,0.12,0.09,0.15,0.03,13.2,39.7,10.2,21.9,41.4,230.9,356.8,310.6,183.9,142,0.2,3,1353.9,52.9,73.5,1082.3,145.2
BIHAR,BANKA,2003,'Summer     ',MAIZE,3281,8938,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,13.2,39.7,10.2,21.9,41.4,230.9,356.8,310.6,183.9,142,0.2,3,1353.9,52.9,73.5,1082.3,145.2
BIHAR,BANKA,2003,'Rabi       ',WHEAT,27157,42013,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,13.2,39.7,10.2,21.9,41.4,230.9,356.8,310.6,183.9,142,0.2,3,1353.9,52.9,73.5,1082.3,145.2
BIHAR,BANKA,2003,'Rabi       ',MAIZE,1484,4642,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,13.2,39.7,10.2,21.9,41.4,230.9,356.8,310.6,183.9,142,0.2,3,1353.9,52.9,73.5,1082.3,145.2
BIHAR,BANKA,2003,'Rabi       ',BARLEY,863,886,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,13.2,39.7,10.2,21.9,41.4,230.9,356.8,310.6,183.9,142,0.2,3,1353.9,52.9,73.5,1082.3,145.2
BIHAR,BANKA,2003,'Kharif     ',RICE,100564,150537,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,13.2,39.7,10.2,21.9,41.4,230.9,356.8,310.6,183.9,142,0.2,3,1353.9,52.9,73.5,1082.3,145.2
BIHAR,BANKA,2003,'Kharif     ',MAIZE,8371,19547,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,13.2,39.7,10.2,21.9,41.4,230.9,356.8,310.6,183.9,142,0.2,3,1353.9,52.9,73.5,1082.3,145.2
BIHAR,BANKA,2002,'Whole Year ',ONION,13,112,3000,3500,3200,0.09,0.12,0.12,0.09,0.15,0.03,13.4,11.3,2.2,25,74.8,116.6,386.1,247.7,192.8,33.8,1.4,0.7,1105.8,24.6,102.1,943.2,35.8
BIHAR,BANKA,2002,'Summer     ',MAIZE,2449,6383,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,13.4,11.3,2.2,25,74.8,116.6,386.1,247.7,192.8,33.8,1.4,0.7,1105.8,24.6,102.1,943.2,35.8
BIHAR,BANKA,2002,'Rabi       ',WHEAT,26260,36958,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,13.4,11.3,2.2,25,74.8,116.6,386.1,247.7,192.8,33.8,1.4,0.7,1105.8,24.6,102.1,943.2,35.8
BIHAR,BANKA,2002,'Rabi       ',MAIZE,1624,3501,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,13.4,11.3,2.2,25,74.8,116.6,386.1,247.7,192.8,33.8,1.4,0.7,1105.8,24.6,102.1,943.2,35.8
BIHAR,BANKA,2002,'Rabi       ',BARLEY,1113,578,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,13.4,11.3,2.2,25,74.8,116.6,386.1,247.7,192.8,33.8,1.4,0.7,1105.8,24.6,102.1,943.2,35.8
BIHAR,BANKA,2002,'Autumn     ',MAIZE,9526,11735,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,13.4,11.3,2.2,25,74.8,116.6,386.1,247.7,192.8,33.8,1.4,0.7,1105.8,24.6,102.1,943.2,35.8
BIHAR,BANKA,2002,'Winter     ',RICE,103299,145882,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,13.4,11.3,2.2,25,74.8,116.6,386.1,247.7,192.8,33.8,1.4,0.7,1105.8,24.6,102.1,943.2,35.8
BIHAR,BANKA,2003,'Winter     ',RICE,100564,150537,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,13.2,39.7,10.2,21.9,41.4,230.9,356.8,310.6,183.9,142,0.2,3,1353.9,52.9,73.5,1082.3,145.2
BIHAR,BANKA,2014,'Rabi       ',WHEAT,25854,45675,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,17,33.5,8.4,0.7,103.9,115.2,265.4,307.6,160.3,47.8,0,1.2,1061,50.5,112.9,848.6,49
BIHAR,BANKA,2004,'Kharif     ',MAIZE,8011,7782,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,22.7,2.1,2.2,32,72.7,246.8,418.4,175.9,115.3,56.4,3.1,0,1147.8,24.8,107,956.4,59.5
BIHAR,BANKA,2004,'Rabi       ',MAIZE,1487,4772,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,22.7,2.1,2.2,32,72.7,246.8,418.4,175.9,115.3,56.4,3.1,0,1147.8,24.8,107,956.4,59.5
BIHAR,BANKA,2009,'Rabi       ',MAIZE,1361,3329,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.3,0.4,1.1,2.9,98.5,67.7,213.6,298.9,127.6,72.6,5.1,0.8,889.3,0.7,102.5,707.7,78.4
BIHAR,BANKA,2009,'Rabi       ',WHEAT,27209,50735,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.3,0.4,1.1,2.9,98.5,67.7,213.6,298.9,127.6,72.6,5.1,0.8,889.3,0.7,102.5,707.7,78.4
BIHAR,BANKA,2009,'Summer     ',MAIZE,3538,10071,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.3,0.4,1.1,2.9,98.5,67.7,213.6,298.9,127.6,72.6,5.1,0.8,889.3,0.7,102.5,707.7,78.4
BIHAR,BANKA,2009,'Summer     ',RICE,1,1,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.3,0.4,1.1,2.9,98.5,67.7,213.6,298.9,127.6,72.6,5.1,0.8,889.3,0.7,102.5,707.7,78.4
BIHAR,BANKA,2009,'Winter     ',RICE,101999,211103,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.3,0.4,1.1,2.9,98.5,67.7,213.6,298.9,127.6,72.6,5.1,0.8,889.3,0.7,102.5,707.7,78.4
BIHAR,BANKA,2010,'Autumn     ',MAIZE,7036,17091,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.1,1.1,0.2,6.5,44.4,80.9,191.2,158.4,105.7,33.6,5,2.1,629.2,1.3,51.1,536.2,40.7
BIHAR,BANKA,2010,'Rabi       ',BARLEY,365,409,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.1,1.1,0.2,6.5,44.4,80.9,191.2,158.4,105.7,33.6,5,2.1,629.2,1.3,51.1,536.2,40.7
BIHAR,BANKA,2010,'Rabi       ',MAIZE,980,2879,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.1,1.1,0.2,6.5,44.4,80.9,191.2,158.4,105.7,33.6,5,2.1,629.2,1.3,51.1,536.2,40.7
BIHAR,BANKA,2010,'Rabi       ',WHEAT,23643,42535,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.1,1.1,0.2,6.5,44.4,80.9,191.2,158.4,105.7,33.6,5,2.1,629.2,1.3,51.1,536.2,40.7
BIHAR,BANKA,2010,'Summer     ',MAIZE,3258,15645,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.1,1.1,0.2,6.5,44.4,80.9,191.2,158.4,105.7,33.6,5,2.1,629.2,1.3,51.1,536.2,40.7
BIHAR,BANKA,2010,'Winter     ',RICE,80170,159926,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.1,1.1,0.2,6.5,44.4,80.9,191.2,158.4,105.7,33.6,5,2.1,629.2,1.3,51.1,536.2,40.7
BIHAR,BANKA,2011,'Autumn     ',MAIZE,6857,18941,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,4.2,7.7,9.2,23.9,74.5,211,241.1,278.7,234.1,10,2,0.9,1097.1,11.8,107.6,964.8,12.9
BIHAR,BANKA,2011,'Rabi       ',BARLEY,502,728,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,4.2,7.7,9.2,23.9,74.5,211,241.1,278.7,234.1,10,2,0.9,1097.1,11.8,107.6,964.8,12.9
BIHAR,BANKA,2011,'Rabi       ',MAIZE,999,5331,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,4.2,7.7,9.2,23.9,74.5,211,241.1,278.7,234.1,10,2,0.9,1097.1,11.8,107.6,964.8,12.9
BIHAR,BANKA,2011,'Rabi       ',WHEAT,24050,73092,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,4.2,7.7,9.2,23.9,74.5,211,241.1,278.7,234.1,10,2,0.9,1097.1,11.8,107.6,964.8,12.9
BIHAR,BANKA,2011,'Summer     ',MAIZE,3348,18585,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,4.2,7.7,9.2,23.9,74.5,211,241.1,278.7,234.1,10,2,0.9,1097.1,11.8,107.6,964.8,12.9
BIHAR,BANKA,2011,'Winter     ',RICE,99780,390622,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,4.2,7.7,9.2,23.9,74.5,211,241.1,278.7,234.1,10,2,0.9,1097.1,11.8,107.6,964.8,12.9
BIHAR,BANKA,2014,'Rabi       ',BARLEY,180,56,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,17,33.5,8.4,0.7,103.9,115.2,265.4,307.6,160.3,47.8,0,1.2,1061,50.5,112.9,848.6,49
BIHAR,BANKA,2014,'Autumn     ',MAIZE,7070,20688,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,17,33.5,8.4,0.7,103.9,115.2,265.4,307.6,160.3,47.8,0,1.2,1061,50.5,112.9,848.6,49
BIHAR,BANKA,2013,'Winter     ',RICE,95524,284394,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,5.1,22.6,0.6,32.3,89.5,183.3,182,213.6,143.3,197.1,0.4,0,1069.9,27.7,122.4,722.2,197.5
BIHAR,BANKA,2013,'Summer     ',MAIZE,3233,16869,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,5.1,22.6,0.6,32.3,89.5,183.3,182,213.6,143.3,197.1,0.4,0,1069.9,27.7,122.4,722.2,197.5
BIHAR,BANKA,2013,'Rabi       ',WHEAT,25627,69260,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,5.1,22.6,0.6,32.3,89.5,183.3,182,213.6,143.3,197.1,0.4,0,1069.9,27.7,122.4,722.2,197.5
BIHAR,BANKA,2013,'Rabi       ',MAIZE,868,3532,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,5.1,22.6,0.6,32.3,89.5,183.3,182,213.6,143.3,197.1,0.4,0,1069.9,27.7,122.4,722.2,197.5
BIHAR,BANKA,2009,'Rabi       ',BARLEY,621,548,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.3,0.4,1.1,2.9,98.5,67.7,213.6,298.9,127.6,72.6,5.1,0.8,889.3,0.7,102.5,707.7,78.4
BIHAR,BANKA,2013,'Rabi       ',BARLEY,364,775,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,5.1,22.6,0.6,32.3,89.5,183.3,182,213.6,143.3,197.1,0.4,0,1069.9,27.7,122.4,722.2,197.5
BIHAR,BANKA,2012,'Winter     ',RICE,96359,291074,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,18.1,2.7,7.3,20.4,18.8,96.2,354,240.4,233.8,34.3,6.4,0,1032.4,20.9,46.5,924.4,40.6
BIHAR,BANKA,2012,'Summer     ',MAIZE,3059,18840,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,18.1,2.7,7.3,20.4,18.8,96.2,354,240.4,233.8,34.3,6.4,0,1032.4,20.9,46.5,924.4,40.6
BIHAR,BANKA,2012,'Rabi       ',WHEAT,22943,58485,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,18.1,2.7,7.3,20.4,18.8,96.2,354,240.4,233.8,34.3,6.4,0,1032.4,20.9,46.5,924.4,40.6
BIHAR,BANKA,2012,'Rabi       ',MAIZE,874,4068,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,18.1,2.7,7.3,20.4,18.8,96.2,354,240.4,233.8,34.3,6.4,0,1032.4,20.9,46.5,924.4,40.6
BIHAR,BANKA,2012,'Rabi       ',BARLEY,374,354,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,18.1,2.7,7.3,20.4,18.8,96.2,354,240.4,233.8,34.3,6.4,0,1032.4,20.9,46.5,924.4,40.6
BIHAR,BANKA,2012,'Autumn     ',MAIZE,6568,20380,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,18.1,2.7,7.3,20.4,18.8,96.2,354,240.4,233.8,34.3,6.4,0,1032.4,20.9,46.5,924.4,40.6
BIHAR,BANKA,2013,'Autumn     ',MAIZE,7003,19433,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,5.1,22.6,0.6,32.3,89.5,183.3,182,213.6,143.3,197.1,0.4,0,1069.9,27.7,122.4,722.2,197.5
BIHAR,BANKA,2004,'Rabi       ',BARLEY,595,344,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,22.7,2.1,2.2,32,72.7,246.8,418.4,175.9,115.3,56.4,3.1,0,1147.8,24.8,107,956.4,59.5
BIHAR,BANKA,2009,'Autumn     ',MAIZE,6478,18194,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.3,0.4,1.1,2.9,98.5,67.7,213.6,298.9,127.6,72.6,5.1,0.8,889.3,0.7,102.5,707.7,78.4
BIHAR,BANKA,2008,'Whole Year ',ONION,24,223,3000,3500,3200,0.09,0.12,0.12,0.09,0.15,0.03,25.6,4.4,3.2,10.4,48.9,291.2,397.2,278.1,117.1,21.4,0.1,0,1197.7,30,62.6,1083.5,21.6
BIHAR,BANKA,2004,'Rabi       ',WHEAT,21538,27735,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,22.7,2.1,2.2,32,72.7,246.8,418.4,175.9,115.3,56.4,3.1,0,1147.8,24.8,107,956.4,59.5
BIHAR,BANKA,2004,'Summer     ',MAIZE,3105,10058,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,22.7,2.1,2.2,32,72.7,246.8,418.4,175.9,115.3,56.4,3.1,0,1147.8,24.8,107,956.4,59.5
BIHAR,BANKA,2004,'Whole Year ',ONION,15,113,3000,3500,3200,0.09,0.12,0.12,0.09,0.15,0.03,22.7,2.1,2.2,32,72.7,246.8,418.4,175.9,115.3,56.4,3.1,0,1147.8,24.8,107,956.4,59.5
BIHAR,BANKA,2004,'Winter     ',RICE,71841,97758,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,22.7,2.1,2.2,32,72.7,246.8,418.4,175.9,115.3,56.4,3.1,0,1147.8,24.8,107,956.4,59.5
BIHAR,BANKA,2005,'Kharif     ',MAIZE,7008,6833,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,13.9,14.3,12.1,7.7,28.6,82.5,300,309.1,105.1,34.3,0,0.2,907.8,28.2,48.5,796.7,34.5
BIHAR,BANKA,2005,'Rabi       ',BARLEY,1257,919,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,13.9,14.3,12.1,7.7,28.6,82.5,300,309.1,105.1,34.3,0,0.2,907.8,28.2,48.5,796.7,34.5
BIHAR,BANKA,2005,'Rabi       ',MAIZE,2126,3304,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,13.9,14.3,12.1,7.7,28.6,82.5,300,309.1,105.1,34.3,0,0.2,907.8,28.2,48.5,796.7,34.5
BIHAR,BANKA,2005,'Rabi       ',WHEAT,23311,27807,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,13.9,14.3,12.1,7.7,28.6,82.5,300,309.1,105.1,34.3,0,0.2,907.8,28.2,48.5,796.7,34.5
BIHAR,BANKA,2005,'Summer     ',MAIZE,3310,9123,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,13.9,14.3,12.1,7.7,28.6,82.5,300,309.1,105.1,34.3,0,0.2,907.8,28.2,48.5,796.7,34.5
BIHAR,BANKA,2005,'Whole Year ',ONION,18,157,3000,3500,3200,0.09,0.12,0.12,0.09,0.15,0.03,13.9,14.3,12.1,7.7,28.6,82.5,300,309.1,105.1,34.3,0,0.2,907.8,28.2,48.5,796.7,34.5
BIHAR,BANKA,2005,'Winter     ',RICE,96920,133263,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,13.9,14.3,12.1,7.7,28.6,82.5,300,309.1,105.1,34.3,0,0.2,907.8,28.2,48.5,796.7,34.5
BIHAR,BANKA,2006,'Kharif     ',MAIZE,6652,8940,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.1,0,1.9,19.2,73.2,200,290.7,160.4,285.2,17.6,2.9,1.6,1052.8,0.1,94.3,936.3,22.1
BIHAR,BANKA,2006,'Rabi       ',BARLEY,9,10,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.1,0,1.9,19.2,73.2,200,290.7,160.4,285.2,17.6,2.9,1.6,1052.8,0.1,94.3,936.3,22.1
BIHAR,BANKA,2006,'Rabi       ',MAIZE,1836,7726,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.1,0,1.9,19.2,73.2,200,290.7,160.4,285.2,17.6,2.9,1.6,1052.8,0.1,94.3,936.3,22.1
BIHAR,BANKA,2006,'Rabi       ',WHEAT,28781,53142,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.1,0,1.9,19.2,73.2,200,290.7,160.4,285.2,17.6,2.9,1.6,1052.8,0.1,94.3,936.3,22.1
BIHAR,BANKA,2006,'Summer     ',MAIZE,3726,13113,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.1,0,1.9,19.2,73.2,200,290.7,160.4,285.2,17.6,2.9,1.6,1052.8,0.1,94.3,936.3,22.1
BIHAR,BANKA,2006,'Winter     ',RICE,99429,258065,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.1,0,1.9,19.2,73.2,200,290.7,160.4,285.2,17.6,2.9,1.6,1052.8,0.1,94.3,936.3,22.1
BIHAR,BANKA,2008,'Summer     ',MAIZE,3829,6982,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,25.6,4.4,3.2,10.4,48.9,291.2,397.2,278.1,117.1,21.4,0.1,0,1197.7,30,62.6,1083.5,21.6
BIHAR,BANKA,2008,'Rabi       ',WHEAT,31503,88029,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,25.6,4.4,3.2,10.4,48.9,291.2,397.2,278.1,117.1,21.4,0.1,0,1197.7,30,62.6,1083.5,21.6
BIHAR,BANKA,2008,'Rabi       ',MAIZE,1886,16039,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,25.6,4.4,3.2,10.4,48.9,291.2,397.2,278.1,117.1,21.4,0.1,0,1197.7,30,62.6,1083.5,21.6
BIHAR,BANKA,2008,'Rabi       ',BARLEY,1284,1220,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,25.6,4.4,3.2,10.4,48.9,291.2,397.2,278.1,117.1,21.4,0.1,0,1197.7,30,62.6,1083.5,21.6
BIHAR,BANKA,2008,'Kharif     ',GROUNDNUT,63,31,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,25.6,4.4,3.2,10.4,48.9,291.2,397.2,278.1,117.1,21.4,0.1,0,1197.7,30,62.6,1083.5,21.6
BIHAR,BANKA,2008,'Autumn     ',MAIZE,9782,15789,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,25.6,4.4,3.2,10.4,48.9,291.2,397.2,278.1,117.1,21.4,0.1,0,1197.7,30,62.6,1083.5,21.6
BIHAR,BANKA,2008,'Winter     ',RICE,97023,215838,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,25.6,4.4,3.2,10.4,48.9,291.2,397.2,278.1,117.1,21.4,0.1,0,1197.7,30,62.6,1083.5,21.6
BIHAR,BANKA,2007,'Winter     ',RICE,100545,241087,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.2,34.2,25.4,20.3,94.4,170.4,549.4,340.6,309,39.6,9.1,7.5,1600.2,34.3,140.2,1369.4,56.2
